era,rank,token,tfidf_score
1970s,1,love,0.03396281059919877
1970s,2,oh,0.023225273544498045
1970s,3,ll,0.018694177683977433
1970s,4,don,0.018387038341308667
1970s,5,baby,0.018287971575075054
1970s,6,know,0.018109766143593466
1970s,7,ve,0.017015380830450573
1970s,8,just,0.016926210842603026
1970s,9,time,0.014808628251612594
1970s,10,got,0.014571136052031019
1970s,11,come,0.013603827224961482
1970s,12,way,0.012663434429311709
1970s,13,like,0.01252478007963514
1970s,14,yeah,0.012464411160721754
1970s,15,man,0.012261846108110399
1970s,16,gonna,0.011946235748519498
1970s,17,let,0.011760310904062215
1970s,18,away,0.011367813445072606
1970s,19,day,0.011295531213804832
1970s,20,night,0.01074729795636445
1970s,21,say,0.01069200771955123
1970s,22,good,0.010368528731977201
1970s,23,long,0.010075127285165363
1970s,24,life,0.009836137867625633
1970s,25,want,0.009681245664214641
1970s,26,make,0.009679819459541307
1970s,27,home,0.009448834166988412
1970s,28,little,0.009388113425245655
1970s,29,tell,0.00908014999705524
1970s,30,said,0.00879092548084344
1970s,31,right,0.00877898126929415
1970s,32,old,0.008564392745096416
1970s,33,world,0.008506550113964787
1970s,34,ooh,0.008402160846250178
1970s,35,feel,0.008280232650919137
1970s,36,hey,0.008138519948899815
1970s,37,heart,0.00813775706114757
1970s,38,woman,0.008132220760082909
1970s,39,yes,0.0078968104084734
1970s,40,cause,0.007687010563512304
1970s,41,girl,0.007650119889444321
1970s,42,need,0.007603302279815733
1970s,43,won,0.007429750982015877
1970s,44,mind,0.007345437274257155
1970s,45,gone,0.0073167997109888925
1970s,46,eyes,0.007285390089574836
1970s,47,ve got,0.0072800145473274356
1970s,48,think,0.007116289705629645
1970s,49,sweet,0.006994549742184073
1970s,50,lord,0.006904823878736101
1970s,51,la,0.006864493853156789
1970s,52,people,0.006755797010436178
1970s,53,ain,0.006733558112151338
1970s,54,things,0.006647448561041047
1970s,55,love love,0.006551280757706547
1970s,56,song,0.006417787373444391
1970s,57,look,0.006342361677318338
1970s,58,sun,0.006315714902213036
1970s,59,hear,0.006141880754645634
1970s,60,going,0.005986598976628021
1970s,61,sing,0.005967922768799327
1970s,62,la la,0.005967549015391318
1970s,63,morning,0.005828324444613582
1970s,64,oh oh,0.005545002983325214
1970s,65,really,0.005465706879377897
1970s,66,don know,0.005415578708125117
1970s,67,hand,0.005407625214609091
1970s,68,try,0.005362690957882422
1970s,69,believe,0.005360094520806133
1970s,70,lonely,0.0053204766322116894
1970s,71,live,0.005319337215126343
1970s,72,thing,0.005281775608889828
1970s,73,light,0.005279759714515771
1970s,74,did,0.0052669283075003175
1970s,75,lady,0.005253394410253674
1970s,76,free,0.005230322308114301
1970s,77,wanna,0.005181141833196777
1970s,78,hold,0.005120532321614169
1970s,79,leave,0.005071711068632586
1970s,80,new,0.00501238939070012
1970s,81,yeah yeah,0.004969847633617789
1970s,82,ah,0.004956063752725274
1970s,83,friend,0.004889908365142753
1970s,84,true,0.004823880256530292
1970s,85,place,0.0048055925173237975
1970s,86,better,0.00471630528099671
1970s,87,left,0.0047081823235422485
1970s,88,stay,0.004694858744013797
1970s,89,dream,0.004691640471669471
1970s,90,wrong,0.004660783254596054
1970s,91,blue,0.004631782570002812
1970s,92,tonight,0.004624501906872018
1970s,93,hard,0.004530204946327499
1970s,94,rain,0.0045059782303619
1970s,95,turn,0.0044997201416969
1970s,96,music,0.004424401489404491
1970s,97,dance,0.004394511606701246
1970s,98,face,0.004382141761350675
1970s,99,rock,0.004373384214765909
1970s,100,sky,0.004332446969585515
1980s,1,love,0.030102372423125124
1980s,2,oh,0.019914748409975012
1980s,3,don,0.019733317735222355
1980s,4,ll,0.0175529238614266
1980s,5,know,0.016825970302658633
1980s,6,just,0.016306768476277936
1980s,7,ve,0.01578847257608676
1980s,8,time,0.014574561333167015
1980s,9,baby,0.01360004296554514
1980s,10,got,0.013518585296999739
1980s,11,like,0.013371756338879548
1980s,12,night,0.012488084097571567
1980s,13,come,0.01228847376295083
1980s,14,say,0.01199092059520527
1980s,15,heart,0.011729918454576339
1980s,16,way,0.011616534235905161
1980s,17,away,0.01161585963440221
1980s,18,want,0.011122309063138956
1980s,19,let,0.010999467210970934
1980s,20,gonna,0.010852807393576434
1980s,21,life,0.010238251157070444
1980s,22,man,0.009575782254569057
1980s,23,world,0.009561288047145629
1980s,24,day,0.009540289237655805
1980s,25,yeah,0.009427580731794113
1980s,26,make,0.009340876803181191
1980s,27,right,0.00882999260833915
1980s,28,feel,0.008720213178034692
1980s,29,tell,0.008532928318247524
1980s,30,eyes,0.008493300050299033
1980s,31,need,0.008155804507852244
1980s,32,girl,0.00793848531218122
1980s,33,little,0.007916449785509183
1980s,34,said,0.007881014650501996
1980s,35,cause,0.007827110474296668
1980s,36,long,0.00776193182829086
1980s,37,ve got,0.007592487960301795
1980s,38,good,0.007504140300495771
1980s,39,won,0.007415628571529
1980s,40,think,0.007093441213033625
1980s,41,look,0.007063147121882759
1980s,42,tonight,0.0070085767729511205
1980s,43,hey,0.006687719082818384
1980s,44,mind,0.006658375394660136
1980s,45,ooh,0.006582461226626394
1980s,46,home,0.006571306827573337
1980s,47,hear,0.0065427474157975915
1980s,48,things,0.0062701673684831555
1980s,49,oh oh,0.006156645932522177
1980s,50,people,0.006120712718973199
1980s,51,hold,0.00598217187952841
1980s,52,wanna,0.005856229838141456
1980s,53,light,0.005693450565465149
1980s,54,old,0.005668813815503046
1980s,55,dream,0.005575007690511027
1980s,56,live,0.005543562379843371
1980s,57,rock,0.005540901487758318
1980s,58,turn,0.005515551209437518
1980s,59,gone,0.005501535239069733
1980s,60,believe,0.005454360440331757
1980s,61,going,0.00527229417115074
1980s,62,face,0.005229787143263393
1980s,63,place,0.005206838903171131
1980s,64,love love,0.005182626347422286
1980s,65,yes,0.005074643141655281
1980s,66,really,0.005054113614074698
1980s,67,run,0.0050503854646273124
1980s,68,don know,0.005044084628823652
1980s,69,inside,0.005038226295839496
1980s,70,true,0.0050331158691770215
1980s,71,new,0.0050060809684418246
1980s,72,try,0.004994418545938749
1980s,73,ain,0.004895716178809412
1980s,74,hand,0.004893553746054313
1980s,75,better,0.004822383406040957
1980s,76,hard,0.004798920667336396
1980s,77,thing,0.0047957214990998875
1980s,78,dance,0.004695361913418208
1980s,79,stand,0.004680138485445874
1980s,80,stop,0.004654875583230114
1980s,81,comes,0.004547083776741652
1980s,82,wrong,0.004525965612211778
1980s,83,free,0.004513290488676117
1980s,84,dreams,0.004504742723285574
1980s,85,head,0.004470671553589322
1980s,86,lord,0.004453255628491936
1980s,87,leave,0.004451206098637932
1980s,88,left,0.0044414846318309555
1980s,89,chorus,0.004426786567668038
1980s,90,lonely,0.00439864399493749
1980s,91,stay,0.004379989052335989
1980s,92,end,0.0043718371661079485
1980s,93,walk,0.004344575919184621
1980s,94,sweet,0.0043014705236894815
1980s,95,fall,0.004259481986775372
1980s,96,did,0.004252566691694772
1980s,97,sun,0.004226724533134254
1980s,98,waiting,0.004203364042439543
1980s,99,play,0.004178453801628212
1980s,100,die,0.004160184839893233
1990s,1,love,0.022299635622299373
1990s,2,don,0.01923798610031485
1990s,3,know,0.018086402333825916
1990s,4,ll,0.017970978951628937
1990s,5,like,0.01707054667231701
1990s,6,just,0.01571928866470242
1990s,7,time,0.015061153608496743
1990s,8,ve,0.015000288059317565
1990s,9,oh,0.014307813310282231
1990s,10,got,0.01367623427927841
1990s,11,come,0.012583892291160623
1990s,12,life,0.012056175714556807
1990s,13,way,0.01196587993924839
1990s,14,baby,0.011620303371840715
1990s,15,away,0.011481898788603655
1990s,16,let,0.01128647261056358
1990s,17,want,0.011258319739638324
1990s,18,say,0.010753054092704785
1990s,19,yeah,0.010432055082359627
1990s,20,world,0.010224974087784269
1990s,21,man,0.010030527401095448
1990s,22,day,0.009946795308096555
1990s,23,heart,0.009855276121574533
1990s,24,feel,0.009799479012311027
1990s,25,cause,0.009637643637631034
1990s,26,make,0.009564247619564032
1990s,27,night,0.00936598336932422
1990s,28,gonna,0.009134000236802676
1990s,29,eyes,0.009073799289164616
1990s,30,right,0.008595955722900615
1990s,31,need,0.008103020828071133
1990s,32,tell,0.008099593915266315
1990s,33,think,0.00806244987411865
1990s,34,little,0.008016006208555977
1990s,35,mind,0.008007049681530709
1990s,36,won,0.007563622257111749
1990s,37,said,0.007503484991786916
1990s,38,good,0.007394923202331499
1990s,39,long,0.007388690386810195
1990s,40,things,0.006982990316275625
1990s,41,wanna,0.006808562039381959
1990s,42,look,0.006723578170707403
1990s,43,hear,0.0065219677236545955
1990s,44,ain,0.006490013783004043
1990s,45,home,0.006461046055244772
1990s,46,inside,0.006459371855140525
1990s,47,god,0.006172656097145794
1990s,48,live,0.006135548415975875
1990s,49,light,0.006132391895617664
1990s,50,gone,0.006100137986287325
1990s,51,hey,0.006042036241318583
1990s,52,believe,0.006021568446662553
1990s,53,girl,0.006019067371672976
1990s,54,ve got,0.005950060308437565
1990s,55,chorus,0.005885706931220695
1990s,56,face,0.005866555994515469
1990s,57,soul,0.005810003883506643
1990s,58,head,0.005722218445151489
1990s,59,try,0.005701909503032902
1990s,60,hold,0.005514619606046124
1990s,61,die,0.005478732793203561
1990s,62,pain,0.005446184160230512
1990s,63,place,0.005432632921499995
1990s,64,people,0.005394190359029345
1990s,65,old,0.005382462479271252
1990s,66,going,0.005366079070111893
1990s,67,don know,0.005342568384633712
1990s,68,left,0.005254952785139742
1990s,69,new,0.005253115769035041
1990s,70,sun,0.005229447062174639
1990s,71,hand,0.005179359000026734
1990s,72,dream,0.005178478864487404
1990s,73,end,0.005097878361433647
1990s,74,true,0.005093069202658014
1990s,75,did,0.005064526551510145
1990s,76,better,0.005040650811380858
1990s,77,ya,0.005035280240990444
1990s,78,turn,0.005028253460924727
1990s,79,thing,0.005006179852531481
1990s,80,free,0.0049916993165266665
1990s,81,leave,0.004939115893880656
1990s,82,fall,0.004897816748546073
1990s,83,black,0.00480936556830432
1990s,84,really,0.004784146374901741
1990s,85,lost,0.004773202189129011
1990s,86,dead,0.004750164960889219
1990s,87,tonight,0.004719560626086426
1990s,88,hard,0.004714613066309177
1990s,89,wrong,0.004712087401915761
1990s,90,sky,0.004652099333085142
1990s,91,forever,0.00462747266190391
1990s,92,dreams,0.004541635993347891
1990s,93,far,0.004541278755486947
1990s,94,comes,0.004530228507906829
1990s,95,stay,0.004521467100057293
1990s,96,stop,0.00449929459479581
1990s,97,blood,0.004488319459965897
1990s,98,lord,0.004477812565554191
1990s,99,death,0.004463443484039334
1990s,100,thought,0.004425070079620856
2000s,1,don,0.019522401941734928
2000s,2,ll,0.019285471779400667
2000s,3,know,0.018827832799384013
2000s,4,like,0.018632039786341443
2000s,5,love,0.018581181311158698
2000s,6,just,0.017069771808804826
2000s,7,ve,0.015702103226849253
2000s,8,time,0.01530973225281856
2000s,9,oh,0.014539026386244184
2000s,10,got,0.013231990118535094
2000s,11,let,0.012970631944061216
2000s,12,life,0.012773237888552483
2000s,13,come,0.0126171416590486
2000s,14,away,0.012310899117420284
2000s,15,way,0.012299566434858088
2000s,16,want,0.011362516750798659
2000s,17,say,0.011040026610887457
2000s,18,make,0.010468435887046181
2000s,19,feel,0.010280812577117404
2000s,20,world,0.010276492148505073
2000s,21,cause,0.010204147797735971
2000s,22,day,0.010115941123894088
2000s,23,yeah,0.009818594434519304
2000s,24,eyes,0.009574234893695584
2000s,25,heart,0.009483437525431763
2000s,26,right,0.009198580696480423
2000s,27,night,0.009051834140933454
2000s,28,baby,0.009048204917344139
2000s,29,man,0.008809383278801472
2000s,30,gonna,0.008560136789142603
2000s,31,need,0.008507867475974094
2000s,32,won,0.008275445728244799
2000s,33,tell,0.008028987278932424
2000s,34,think,0.007896375262616277
2000s,35,mind,0.007439951538330358
2000s,36,long,0.007404695150446408
2000s,37,wanna,0.007305529168471619
2000s,38,ain,0.007188460764616321
2000s,39,things,0.007178099879627474
2000s,40,little,0.0070605614155913096
2000s,41,home,0.006973734170980324
2000s,42,good,0.006973697521030814
2000s,43,look,0.006960963087488331
2000s,44,said,0.006939706684025911
2000s,45,light,0.0068442654449751665
2000s,46,inside,0.006780213152963559
2000s,47,gone,0.0064598216218339725
2000s,48,end,0.006346845371799533
2000s,49,hear,0.006291076599797989
2000s,50,live,0.006276321823467522
2000s,51,god,0.006262703228496701
2000s,52,believe,0.006246930857701728
2000s,53,left,0.0062445867094059445
2000s,54,face,0.006185572910766469
2000s,55,girl,0.006104319316259695
2000s,56,fall,0.006028621552743074
2000s,57,hold,0.0059573165457557494
2000s,58,try,0.005878033652222989
2000s,59,lost,0.00586767580705592
2000s,60,new,0.005806924843583538
2000s,61,leave,0.005782187349712652
2000s,62,place,0.005758624236411319
2000s,63,head,0.005747469224440225
2000s,64,tonight,0.005676707874067196
2000s,65,sun,0.0056714887419194926
2000s,66,die,0.005643189382721377
2000s,67,better,0.0056255504177793285
2000s,68,soul,0.005566526715076166
2000s,69,did,0.005526329459413209
2000s,70,hey,0.0054668809852722565
2000s,71,ve got,0.005359330296345708
2000s,72,turn,0.005354409102462832
2000s,73,blood,0.005268245778028785
2000s,74,stay,0.005237290717551165
2000s,75,pain,0.0052360162687019336
2000s,76,ya,0.005219495812007534
2000s,77,words,0.005214927374296118
2000s,78,going,0.0052025045008025
2000s,79,don know,0.005187187134187178
2000s,80,dead,0.005098759664885318
2000s,81,stop,0.00509643516611424
2000s,82,hard,0.00501848651908385
2000s,83,thing,0.004994327398687212
2000s,84,people,0.0049855194809856895
2000s,85,old,0.004975750232294922
2000s,86,run,0.004953398934547753
2000s,87,free,0.004936576218159266
2000s,88,hand,0.004935424630076823
2000s,89,far,0.004932860718523157
2000s,90,sky,0.004915241066208988
2000s,91,dream,0.004824400238118578
2000s,92,wrong,0.004823152223432597
2000s,93,death,0.0048001317012297704
2000s,94,hands,0.004781255245196481
2000s,95,walk,0.004713819204407642
2000s,96,chorus,0.004696001625806634
2000s,97,really,0.004676871421452089
2000s,98,days,0.004670240146769559
2000s,99,oh oh,0.004621682242532509
2000s,100,waiting,0.004603670818145919
2010s,1,like,0.02720006458003065
2010s,2,don,0.02432961772308333
2010s,3,know,0.022583553303261256
2010s,4,just,0.021358916732003463
2010s,5,got,0.019086598103455085
2010s,6,love,0.018706331091822875
2010s,7,ll,0.017188702371803543
2010s,8,yeah,0.017130372047733048
2010s,9,oh,0.01598105753510207
2010s,10,time,0.014574675136011352
2010s,11,ain,0.01385443859531399
2010s,12,ve,0.013728852798538417
2010s,13,let,0.013701366593891607
2010s,14,want,0.013225063246626588
2010s,15,cause,0.012120517456959499
2010s,16,make,0.011991922906259127
2010s,17,life,0.011782950867157794
2010s,18,say,0.011645059804474575
2010s,19,shit,0.011587292921753473
2010s,20,wanna,0.011548313749665076
2010s,21,feel,0.011421562828270072
2010s,22,way,0.011334652631174634
2010s,23,need,0.01108838500226735
2010s,24,fuck,0.010930212033482656
2010s,25,come,0.010721739235273298
2010s,26,bitch,0.01036094132863264
2010s,27,nigga,0.01027294487726302
2010s,28,man,0.010145413245123495
2010s,29,baby,0.010066734906433367
2010s,30,right,0.009613460097011858
2010s,31,tell,0.00951980591075014
2010s,32,away,0.00939602819995076
2010s,33,think,0.00919195528929252
2010s,34,niggas,0.00890052087423711
2010s,35,day,0.00877074741589367
2010s,36,heart,0.008695166115611037
2010s,37,night,0.008317635299694941
2010s,38,won,0.008195466443583823
2010s,39,girl,0.00814729901833999
2010s,40,world,0.00810368113527391
2010s,41,gonna,0.008070052225601672
2010s,42,mind,0.008031144607012876
2010s,43,said,0.007898657537445907
2010s,44,look,0.007535544991899944
2010s,45,eyes,0.007455989367059181
2010s,46,good,0.0073532746399927
2010s,47,really,0.00714217641358259
2010s,48,gotta,0.006800517871680281
2010s,49,better,0.00680007481735424
2010s,50,god,0.006568370034412652
2010s,51,oh oh,0.006553701071291423
2010s,52,money,0.006538929015492051
2010s,53,home,0.006514021662194293
2010s,54,ya,0.006495306573128737
2010s,55,stay,0.0064085997799054285
2010s,56,em,0.006364126616585474
2010s,57,new,0.006341956419512144
2010s,58,don know,0.006327503296240045
2010s,59,long,0.006300182478593442
2010s,60,little,0.006238620746411916
2010s,61,things,0.006232749073886601
2010s,62,light,0.006228268050948759
2010s,63,gone,0.006132336435672434
2010s,64,leave,0.006131214880741371
2010s,65,head,0.006062913090527232
2010s,66,did,0.005972259704383228
2010s,67,im,0.005968142292501464
2010s,68,people,0.005962943522931825
2010s,69,fucking,0.005941061829871979
2010s,70,going,0.00592973211873215
2010s,71,hold,0.0059241538255556045
2010s,72,real,0.005882374941404248
2010s,73,try,0.00580186855106714
2010s,74,left,0.005777818644747865
2010s,75,run,0.005753635095504861
2010s,76,face,0.005708034740838426
2010s,77,lost,0.00570616196398245
2010s,78,live,0.005662715884882602
2010s,79,end,0.005570015349412513
2010s,80,stop,0.005516427843008364
2010s,81,hard,0.005486623512132895
2010s,82,inside,0.0053880370045190544
2010s,83,feeling,0.005360576844238339
2010s,84,fall,0.005305167854815019
2010s,85,hear,0.00529603201001887
2010s,86,die,0.0051764467378493965
2010s,87,hit,0.005032175245355225
2010s,88,high,0.004991933982898275
2010s,89,boy,0.00497102555787985
2010s,90,place,0.004941924401969638
2010s,91,hope,0.0049319324377096255
2010s,92,yo,0.0048986307769598395
2010s,93,thing,0.00488428588576988
2010s,94,turn,0.0048576505985149935
2010s,95,believe,0.004841105862034247
2010s,96,thought,0.004797749821824217
2010s,97,yeah yeah,0.004726412888320988
2010s,98,getting,0.004721871636546078
2010s,99,bad,0.00470519569255617
2010s,100,soul,0.004652630126168685
2020s,1,like,0.03040634412797522
2020s,2,don,0.029324181774121952
2020s,3,yeah,0.027749240239666146
2020s,4,know,0.025671849027251132
2020s,5,just,0.02376813771359929
2020s,6,got,0.021881926633108607
2020s,7,love,0.018613792712941862
2020s,8,oh,0.0173354229560912
2020s,9,ain,0.016601276851889748
2020s,10,ll,0.01617098128521288
2020s,11,wanna,0.016046050382351393
2020s,12,bitch,0.015156910792316229
2020s,13,want,0.014942579016723741
2020s,14,time,0.014704193611038247
2020s,15,shit,0.014467980256724834
2020s,16,feel,0.01385770045179277
2020s,17,let,0.013503366352460414
2020s,18,fuck,0.01339952984163973
2020s,19,ve,0.012927269972588184
2020s,20,need,0.012811043734732044
2020s,21,cause,0.01265766667675841
2020s,22,make,0.012577318570850739
2020s,23,say,0.011990480096322854
2020s,24,baby,0.011643626796996716
2020s,25,way,0.011454018114755571
2020s,26,life,0.01097312241217504
2020s,27,think,0.01052009197137037
2020s,28,nigga,0.010404448268571826
2020s,29,tell,0.010157064199663736
2020s,30,right,0.009701077548397484
2020s,31,come,0.00963768404389028
2020s,32,really,0.009116446913753207
2020s,33,niggas,0.009003459901042931
2020s,34,yeah yeah,0.008566951378911945
2020s,35,won,0.00843066548452459
2020s,36,mind,0.008423274759425838
2020s,37,away,0.008403146210692006
2020s,38,gotta,0.008386984404565138
2020s,39,heart,0.00821308630743862
2020s,40,said,0.008040865520794886
2020s,41,man,0.008038620629703295
2020s,42,day,0.00800914904897504
2020s,43,girl,0.007860728639455888
2020s,44,gonna,0.007811981084081753
2020s,45,don know,0.0077731879030921
2020s,46,look,0.007766486442675384
2020s,47,night,0.007726183032833133
2020s,48,oh oh,0.007672231019569985
2020s,49,uh,0.0076209883999866605
2020s,50,ooh,0.007512955352218022
2020s,51,stay,0.007339457266848304
2020s,52,better,0.007334881817177992
2020s,53,fucking,0.007282703571831657
2020s,54,tryna,0.007164070464882027
2020s,55,gon,0.007009236677728457
2020s,56,em,0.006907202932508664
2020s,57,head,0.006869118569577794
2020s,58,good,0.006846704617442074
2020s,59,im,0.006838190163150747
2020s,60,leave,0.006770570742486817
2020s,61,money,0.0067222657126483586
2020s,62,feeling,0.00666309563218771
2020s,63,hit,0.006335277426472337
2020s,64,world,0.006323431214344273
2020s,65,eyes,0.00631224078065493
2020s,66,going,0.006304605374718084
2020s,67,new,0.006278174872382191
2020s,68,did,0.006278168154729712
2020s,69,run,0.006277384225744991
2020s,70,god,0.00614298018080212
2020s,71,bad,0.006098145311225124
2020s,72,real,0.006097546703450127
2020s,73,try,0.0060538131474879575
2020s,74,don wanna,0.005992637667620921
2020s,75,ya,0.00591623358219352
2020s,76,things,0.005914591796727606
2020s,77,gone,0.005894674727047246
2020s,78,hold,0.005825386117825504
2020s,79,stop,0.005807602647060528
2020s,80,left,0.00570274168116862
2020s,81,lost,0.0056864973045340095
2020s,82,bout,0.005641902165799287
2020s,83,face,0.005585711140016464
2020s,84,end,0.005562391622478969
2020s,85,hard,0.00553598296066469
2020s,86,talk,0.005530862759907993
2020s,87,home,0.00552062492137604
2020s,88,inside,0.0054583238427779995
2020s,89,told,0.005440515581707033
2020s,90,die,0.005388427118120421
2020s,91,long,0.005384224789304561
2020s,92,pain,0.005348757146241264
2020s,93,yo,0.005313876080677692
2020s,94,getting,0.005313525114556073
2020s,95,hate,0.005257628114370011
2020s,96,light,0.005223213755109558
2020s,97,people,0.005222926254451531
2020s,98,verse,0.005222886625320744
2020s,99,boy,0.005159800617029155
2020s,100,maybe,0.005125280718518776
